Status,Description
169,media id is either expired or will exceed maximum mounts 
170,third party copy backup failure 
171,media id must be 6 or less characters 
172,cannot read media header, may not be NetBackup media or is corrupted 
173,cannot read backup header, media may be corrupted 
174,media manager - system error occurred 
175,not all requested files were restored 
176,cannot perform specified media import operation 
177,could not deassign media due to Media Manager error 
178,media id is not in NetBackup volume pool 
179,density is incorrect for the media id 
180,tar was successful 
181,tar received an invalid argument 
182,tar received an invalid file name 
183,tar received an invalid archive 
184,tar had an unexpected error 
185,tar did not find all the files to be restored 
186,tar received no data 
189,the server is not allowed to write to the client's filesystems 
190,found no images or media matching the selection criteria 
191,no images were successfully processed 
192,VxSS authentication is required but not available 
193,VxSS authentication is requested but not allowed 
194,the maximum number of jobs per client is set to 0 
195,client backup was not attempted 
196,client backup was not attempted because backup window closed 
197,the specified schedule does not exist in the specified policy 
198,no active policies contain schedules of the requested type for this client 
199,operation not allowed during this time period 
200,scheduler found no backups due to run 
201,handshaking failed with server backup restore manager 
202,timed out connecting to server backup restore manager 
203,server backup restore manager's network is unreachable 
204,connection refused by server backup restore manager 
205,cannot connect to server backup restore manager 
206,access to server backup restore manager denied 
207,error obtaining date of last backup for client 
209,error creating or getting message queue 
210,error receiving information on message queue 
212,error sending information on message queue 
213,no storage units available for use 
215,failed reading global config database information 
216,failed reading retention database information 
217,failed reading storage unit database information 
218,failed reading policy database information 
219,the required storage unit is unavailable 
220,database system error 
221,continue 
222,done 
223,an invalid entry was encountered 
224,there was a conflicting specification 
225,text exceeded allowed length 
226,the entity already exists 
227,no entity was found 
228,unable to process request 
229,events out of sequence - image inconsistency 
230,the specified policy does not exist in the configuration database 
231,schedule windows overlap 
232,a protocol error has occurred 
233,premature elf encountered 
234,communication interrupted 
235,inadequate buffer space 
236,the specified client does not exist in an active policy within the configuration database 
237,the specified schedule does not exist in an active policy in the configuration database 
238,the database contains conflicting or erroneous entries 
239,the specified client does not exist in the specified policy 
240,no schedules of the correct type exist in this policy 
241,the specified schedule is the wrong type for this request 
242,operation would cause an illegal duplication 
243,the client is not in the configuration 
245,the specified policy is not of the correct client type 
246,no active policies in the configuration database are of the correct client type 
247,the specified policy is not active 
248,there are no active policies in the configuration database 
249,the file list is incomplete 
250,the image was not created with TIR information 
251,the tir information is zero length 
252,An extended error status has been encountered, check detailed status 
253,the catalog image .f file has been archived 
254,server name not found in the NetBackup configuration 
256,logic error encountered 
257,failed to get job data 
258,Vault duplication was aborted by administrator request 
259,vault configuration file not found 
260,failed to send signal 
261,vault internal error 261 
262,vault internal error 262 
263,session id assignment failed 
265,session id file is empty or corrupt 
266,cannot find robot, vault, or profile in the vault configuration 
267,cannot find the local host name 
268,the vault session directory is either missing or inaccessible 
269,no vault session id was found 
270,unable to obtain process id, getpid failed 
271,vault XML version mismatch 
272,execution of a vault notify script failed 
273,invalid job id 
274,no profile was specified 
275,a session is already running for this vault 
276,invalid session id 
277,unable to print reports 
278,unable to collect pre eject information from the API 
279,eject process is complete 
280,there are no volumes to eject 
281,vault core error 
282,cannot connect to nbvault server 
283,error(s) occurred during vault report generation 
284,error(s) occurred during vault report distribution 
285,unable to locate vault directory 
286,vault internal error 
287,vault eject failed 
288,vault eject partially succeeded 
289,cannot consolidate reports of sessions from container and slot-based vaults 
290,one or more errors detected during eject processing 
291,number of media has exceeded capacity of MAP; must perform manual eject using vltopmenu or vlteject 
292,eject process failed to start 
293,eject process has been aborted 
294,vault catalog backup failed 
295,eject process could not obtain information about the robot 
296,process called but nothing to do 
297,all volumes are not available to eject 
298,the library is not ready to eject volumes 
299,there is no available MAP for ejecting 
300,vmchange eject verify not responding 
301,vmchange api_eject command failed 
302,error encountered trying backup of catalog (multiple tape catalog backup) 
303,error encountered executing Media Manager command 
304,specified profile not found 
305,multiple profiles exist 
306,vault duplication partially succeeded 
307,eject process has already been run for the requested Vault session 
308,no images duplicated 
309,report requested without eject being run 
310,Updating of Media Manager database failed 
311,Iron Mountain Report is already created for this session 
312,invalid container database entry 
313,container does not exist in container database 
314,container database truncate operation failed 
315,failed appending to container database 
316,container_id is not unique in container database 
317,container database close operation failed 
318,container database lock operation failed 
319,container database open operation failed 
320,the specified container is not empty 
321,container cannot hold any media from the specified robot 
322,cannot find vault in vault configuration file 
323,cannot find robot in vault configuration file 
324,invalid data found in retention map file for duplication 
325,unable to find policy/schedule for image using retention mapping 
326,specified file contains no valid entry 
327,no media ejected for the specified vault session 
328,invalid container id 
329,invalid recall status 
330,invalid database host 
331,invalid container description 
332,error getting information from EMM database 
333,error getting information from media manager command line 
334,unable to receive response from robot; robot not ready 
335,failure occurred while suspending media for eject 
336,failure occurred while updating session information 
337,failure occurred while updating the eject.mstr file 
338,vault eject timed out 
339,vault configuration file format error 
340,vault configuration tag not found 
341,vault configuration serialization failed 
342,cannot modify - stale view 
343,robot already exists 
344,vault already exists 
345,profile already exists 
346,duplicate MAP 
347,vault configuration cache not initialized 
348,specified report does not exist 
349,incorrect catalog backup policy 
350,incorrect vault catalog backup schedule 
351,all configured vault steps failed 
400,Server Group Type is Invalid 
401,Server Group Already Exists 
402,Server Group Already Exists with a different type 
403,Server Group Active State is not valid 
404,Server Group does not exist 
405,Member's server type not compatible with Server Group 
406,The computer specified is not a member of the server group specified 
407,Member's NetBackup version not compatible with Server Group 
408,Server Group is in use 
409,Member already exists in server group 
501,You are not authorized to use this application. 
502,No authorization entry exists in the auth.conf file for user name username. None of the NB-Java applications are available to you. 
503,Invalid username. 
504,Incorrect password. 
505,Can not connect to the NB-Java authentication service on host on the configured port - (port_number). Check the log file for more details. 
506,Cannot connect to the NB-Java user service on host on port port_number. If successfully logged in before, retry your last operation. Check the log file for more details. 
507,Socket connection to the NB-Java user service has been broken. Retry your last operation. Check the log file for more details. 
508,Can not write file. 
509,Can not execute program. 
510,File already exists: file_name 
511,NB-Java application server interface error. 
512,Internal error - a bad status packet was returned by NB-Java application server that did not contain an exit status code. 
513,bpjava-msvc: the client is not compatible with this server version (server_version). 
514,NB-Java: bpjava-msvc is not compatible with this application version (application_version). You may try logon to a different NetBackup host or exit the application. The remote NetBackup host has to be configured with the same version of NetBackup as the host you started the application on. 
516,Could not recognize or initialize the requested locale - (locale_NB-Java_was_started_in). 
517,Can not connect to the NB-Java user service via VNETD on host on port configured_port_number. If successfully logged in beforehand, retry your last operation. Check the log file for more details. 
518,No ports available in range (port_number) through (port_number) per the NBJAVA_CLIENT_PORT_WINDOW configuration option. 
519,Invalid NBJAVA_CLIENT_PORT_WINDOW configuration option value: (option_value). 
520,Invalid value for NB-Java configuration option (option_name): (option_value). 
521,NB-Java Configuration file (file_name) does not exist. 
522,NB-Java Configuration file (file_name) is not readable due to the following error: (message). 
523,NB-Java application server protocol error. 
525,Cannot connect to the NB-Java authentication service via VNETD on (host) on port (vnetd_configured_port_number). Check the log file for more details. 
526,bpjava authentication service connection failed 
527,bpjava user service connection if connection to pbx on port 1556 fails 
600,an exception condition occurred 
601,unable to open listen socket 
602,cannot set non blocking mode on the listen socket 
603,cannot register handler for accepting new connections 
604,no target storage unit specified for the new job 
605,received error notification for the job 
606,no robot on which the media can be read 
607,no images were found to synthesize 
608,storage unit query failed 
609,reader failed 
610,end point terminated with an error 
611,no connection to reader 
612,cannot send extents to bpsynth 
613,cannot connect to read media server 
614,cannot start reader on the media server 
615,internal error 615 
616,internal error 616 
617,no drives available to start the reader process 
618,internal error 618 
619,internal error 619 
620,internal error 620 
621,unable to connect to bpcoord 
622,connection to the peer process does not exist 
623,execution of a command in a forked process failed 
624,unable to send a start command to a reader or a writer process on media server 
625,data marshalling error 
626,data un-marshalling error 
627,unexpected message received from bpsynth 
628,insufficient data received 
629,no message was received from bptm 
630,unexpected message was received from bptm 
631,received an error from bptm request to suspend media 
632,received an error from bptm request to un-suspend media 
633,unable to listen and register service via vnetd 
634,no drives available to start the writer process 
635,unable to register handle with the reactor 
636,read from input socket failed 
637,write on output socket failed 
638,invalid arguments specified 
639,specified policy does not exist 
640,specified schedule was not found 
641,invalid media type specified in the storage unit 
642,duplicate backup images were found 
643,unexpected message received from bpcoord 
644,extent directive contained an unknown media id 
645,unable to start the writer on the media server 
646,unable to get the address of the local listen socket 
647,validation of synthetic image failed 
648,unable to send extent message to BPXM 
649,unexpected message received from BPXM 
650,unable to send extent message to bpcoord 
651,unable to issue the database query for policy 
652,unable to issue the database query for policy information 
653,unable to send a message to bpccord 
654,internal error 654 
655,no target storage unit was specified via command line 
656,unable to send start synth message to bpcoord 
657,unable to accept connection from the reader 
658,unable to accept connection from the writer 
659,unable to send a message to the writer child process 
660,a synthetic backup request for media resources failed 
661,unable to send exit message to the BPXM reader 
662,unknown image referenced in the synth context message from BPXM 
663,image does not have a fragment map 
664,zero extents in the synthetic image, cannot proceed 
665,termination requested by bpcoord 
667,unable to open pipe between bpsynth and bpcoord 
668,pipe fgets call from bpcoord failed 
669,bpcoord startup validation failure 
670,send buffer is full 
671,query for list of component images failed 
800,resource request failed 
801,JM internal error 
802,JM internal protocol error 
803,JM terminating 
805,Invalid jobid 
806,this mpx group is unjoinable 
807,not externalized 
811,failed to communicate with resource requester 
812,failed to communicate with resource broker 
813,duplicate reference string specified 
818,retention level mismatch 
819,unable to communicate with JM proxy 
823,no BRMComm to join 
830,drive(s) unavailable or down 
831,image has been validated 
900,retry nbrb request later 
901,RB internal error 
902,RB invalid argument 
903,RB communication error 
904,RB max reallocation tries exceeded 
905,RB media server mismatch 
906,RB operator denied mount request 
907,RB user cancelled resource request 
908,RB was reset 
912,RB disk volume mount failed 
914,RB media reservation not found 
915,RB disk volume mount must retry 
916,Resource request timed out 
1000,Client is offline 
1500,Invalid storage unit 
1501,Invalid source 
1502,Invalid retention type 
1503,Invalid volume pool 
1504,Invalid source 
1505,Invalid alternate read server 
1506,Invalid data classification 
1508,Storage lifecycle policy exceeds maximum copies 
1509,Storage lifecycle policy exceeds maximum backup destinations 
1510,Storage lifecycle policy cannot have more than one snapshot destination. 
1511,Storage lifecycle policy must have at least one fixed retention destination. 
1512,Storage lifecycle policy must have at least one backup destination. 
1513,Invalid duplication priority 
1514,Invalid destination type 
1515,Invalid preserve multiplexing value 
2009,All compatible drive paths are down but media is available
